featureId,featureName,assignedProductCount,trustClass,reason
49,Rodamiento / Cojinete,56,SEMANTIC,strong product/use/technical semantics useful for ontology evidence
50,Moleteado,88,SEMANTIC,strong product/use/technical semantics useful for ontology evidence
51,Material,947,SEMANTIC,strong product/use/technical semantics useful for ontology evidence
52,Capacidad,36,TECHNICAL,"technical spec; useful for family/level inference, not affinity alone"
53,Material exterior,18,SEMANTIC,strong product/use/technical semantics useful for ontology evidence
54,Relleno,84,PRESENTATION,presentation/model variant; generally not customer-affinity semantics
55,Acabado,339,PRESENTATION,presentation/model variant; generally not customer-affinity semantics
56,Resistencia a la tracción,22,SEMANTIC,strong product/use/technical semantics useful for ontology evidence
57,Durómetro,79,NOISE,low coverage or unclear ontology value
58,Tolerancia (Margen de error en peso),390,TECHNICAL,"technical spec; useful for family/level inference, not affinity alone"
59,Certificación,125,SEMANTIC,strong product/use/technical semantics useful for ontology evidence
60,Talla,51,NOISE,low coverage or unclear ontology value
61,Color(es),490,PRESENTATION,presentation/model variant; generally not customer-affinity semantics
62,Marca,1080,SEMANTIC,brand helps catalog organization but should not become customer archetype
63,Modelo ,341,PRESENTATION,presentation/model variant; generally not customer-affinity semantics
64,Garantía Legal,968,LOGISTICS,service/warranty/logistics/safety info; keep as attributes
65,Relación de cable y polea,47,SEMANTIC,strong product/use/technical semantics useful for ontology evidence
66,Servicio de Armado,281,LOGISTICS,service/warranty/logistics/safety info; keep as attributes
67,Largo,13,TECHNICAL,"technical spec; useful for family/level inference, not affinity alone"
68,Composición,2,NOISE,low coverage or unclear ontology value
69,Contenido,14,LOGISTICS,service/warranty/logistics/safety info; keep as attributes
70,Precauciones Importantes,16,LOGISTICS,service/warranty/logistics/safety info; keep as attributes
71,Peso máximo de almacenamiento,19,SEMANTIC,strong product/use/technical semantics useful for ontology evidence
72,Diámetro de perforación,24,TECHNICAL,"technical spec; useful for family/level inference, not affinity alone"
73,Rango de Peso,1,TECHNICAL,"technical spec; useful for family/level inference, not affinity alone"
74,Condición de Venta,54,LOGISTICS,service/warranty/logistics/safety info; keep as attributes
75,Codificación de Color,25,PRESENTATION,presentation/model variant; generally not customer-affinity semantics
76,Dimensiones Plegado,1,TECHNICAL,"technical spec; useful for family/level inference, not affinity alone"
