productId,productName,catalogPresence,primaryProductFamily,secondaryProductFamilies,disciplines,useContexts,classificationEvidence,evidenceStrength,sourceProblems,ontologyProblems,reviewNotes
1338,Banco Regulable Negro | KONG,current_catalog,BENCH,,,COMMERCIAL_GYM:EXPLICIT,family:name | feature:Clasificación de Uso | useContext:COMMERCIAL_GYM(EXPLICIT),EXPLICIT,,,
1581,Cinturón de Levantamiento Iconlift™ 1.0 Negro | HWM®,current_catalog,PROTECTIVE_GEAR,,,,family:name,EXPLICIT,,,
1125,Cajón Hip Thrust Acolchado | FullFit,current_catalog,BENCH,,,,family:name,EXPLICIT,,,
824,Par Bumper Plates Eco 10kg | HWM®,current_catalog,WEIGHT_PLATE,,WEIGHTLIFTING:STRONGLY_INFERRED,,family:name | feature:Categoría | discipline:WEIGHTLIFTING(STRONGLY_INFERRED),EXPLICIT,,,
1586,Cinturón de Levantamiento Iconlift™ 1.0 Magenta | HWM®,current_catalog,PROTECTIVE_GEAR,,,,family:name,EXPLICIT,,,
1585,Cinturón de Levantamiento Iconlift™ 1.0 Coral | HWM®,current_catalog,PROTECTIVE_GEAR,,,,family:name,EXPLICIT,,,
1584,Cinturón de Levantamiento Iconlift™ 1.0 Turquesa | HWM®,current_catalog,PROTECTIVE_GEAR,,,,family:name,EXPLICIT,,,
1595,Par Muñequeras Elásticas Fight 2.0 Magenta | HWM®,current_catalog,PROTECTIVE_GEAR,,,,family:name,EXPLICIT,,,
1609,Par Calleras Black Widow Sin Orificios | HWM®,current_catalog,PROTECTIVE_GEAR,,,,family:name,EXPLICIT,,,
1577,2da Selección - Palmeta De Caucho 100x100cm 15mm (Unidad),historical_order_detail_only,FLOORING,,,,family:name,EXPLICIT,HISTORICAL_DATA_GAP,,
1601,Par Calleras Essentials Sin Orificios Negro/Rojo | HWM®,current_catalog,PROTECTIVE_GEAR,,,,family:name,EXPLICIT,,,
7,Pack 4 Bandas de Resistencia | HWM®,current_catalog,BAND_SUSPENSION,,,,family:name,EXPLICIT,,,"Sold as multi-unit pack/set; not treated as a separate PRODUCT_FAMILY (PACK_SET dropped, see ontology decision)"
1605,Par Calleras Essentials Sin Orificios Blanco/Negro | HWM®,current_catalog,PROTECTIVE_GEAR,,,,family:name,EXPLICIT,,,
1613,Par Calleras Stone 2.0 Sin Orificios Negro | HWM®,current_catalog,PROTECTIVE_GEAR,,,,family:name,EXPLICIT,,,
366,Set 20kg Maletín Cast Iron,current_catalog,DUMBBELL,,,,family:category,STRONGLY_INFERRED,,,"Sold as multi-unit pack/set; not treated as a separate PRODUCT_FAMILY (PACK_SET dropped, see ontology decision)"
1583,Cinturón de Levantamiento Iconlift™ 1.0 Blanco | HWM®,current_catalog,PROTECTIVE_GEAR,,,,family:name,EXPLICIT,,,
1538,Power Rack Delta | HWM®,current_catalog,RACK_CAGE,,,HOME_GYM:EXPLICIT,family:name | feature:Clasificación de Uso | useContext:HOME_GYM(EXPLICIT),EXPLICIT,,,
1198,Piso de Caucho Interlock 100x100cm x 15mm (Unidad) Sin Bordes,current_catalog,FLOORING,,,COMMERCIAL_GYM:EXPLICIT,family:name | feature:Clasificación de Uso | useContext:COMMERCIAL_GYM(EXPLICIT),EXPLICIT,,,
816,Cinturón de Levantamiento Heavy Duty | HWM,current_catalog,PROTECTIVE_GEAR,,,,family:name,EXPLICIT,,,
1612,Par Calleras Stone 2.0 Sin Orificios Turquesa | HWM®,current_catalog,PROTECTIVE_GEAR,,,,family:name,EXPLICIT,,,
779,Airbike Hurricane 3.0 | HWM®,current_catalog,CARDIO_MACHINE,,CARDIO_ENDURANCE:STRONGLY_INFERRED,COMMERCIAL_GYM:EXPLICIT,family:name | feature:Clasificación de Uso | discipline:CARDIO_ENDURANCE(STRONGLY_INFERRED) | useContext:COMMERCIAL_GYM(EXPLICIT),EXPLICIT,,,
1582,Cinturón de Levantamiento Iconlift™ 1.0 Gris | HWM®,current_catalog,PROTECTIVE_GEAR,,,,family:name,EXPLICIT,,,
230,Par Mancuernas Hexagonales 15kg | HWM®,current_catalog,DUMBBELL,,,,family:name,EXPLICIT,,,
2084,Máquina Home Gym ULTRA FZ410 68kg - 2da Selección | Forza,historical_order_detail_only,OTHER,,,HOME_GYM:STRONGLY_INFERRED,useContext:HOME_GYM(STRONGLY_INFERRED),INSUFFICIENT_EVIDENCE,HISTORICAL_DATA_GAP,INSUFFICIENT_EVIDENCE,No name or trusted-category evidence matched any PRODUCT_FAMILY rule; assigned OTHER as fallback
1594,Par Muñequeras Elásticas Fight 2.0 Negro | HWM®,current_catalog,PROTECTIVE_GEAR,,,,family:name,EXPLICIT,,,
1517,Polea Cruzada Corta MO 2.0 | Obelix®,current_catalog,CABLE_MACHINE,,,COMMERCIAL_GYM:EXPLICIT,family:name | feature:Clasificación de Uso | useContext:COMMERCIAL_GYM(EXPLICIT),EXPLICIT,,,
901,Trineo Multifuncional 3.0 Power Sled | HWM®,current_catalog,ROPE_SLED,,HYROX:EXPLICIT,,family:name | discipline:HYROX(EXPLICIT),EXPLICIT,,,
232,Par Mancuernas Hexagonales 20kg | HWM®,current_catalog,DUMBBELL,,,,family:name,EXPLICIT,,,
228,Par Mancuernas Hexagonales 10kg | HWM®,current_catalog,DUMBBELL,,,,family:name,EXPLICIT,,,
1862,Jaula Smith Machine ZR Series | PROmachine,current_catalog,PLATE_LOADED_MACHINE,,,HOME_GYM:EXPLICIT,family:name | feature:Clasificación de Uso | useContext:HOME_GYM(EXPLICIT),EXPLICIT,,AXIS_OVERLAP,"Smith machine hybrid: classified PLATE_LOADED_MACHINE per consistent ""Máquinas con Carga de Discos"" category evidence, despite ""Jaula"" (cage) wording in the name suggesting RACK_CAGE"
1602,Par Calleras Essentials Sin Orificios Rosado/Negro | HWM®,current_catalog,PROTECTIVE_GEAR,,,,family:name,EXPLICIT,,,
1596,Par Muñequeras Elásticas Fight 2.0 Turquesa | HWM®,current_catalog,PROTECTIVE_GEAR,,,,family:name,EXPLICIT,,,
818,Cinturón de Levantamiento Straight Black | HWM,current_catalog,PROTECTIVE_GEAR,,,,family:name,EXPLICIT,,,
35,Barra Olímpica Z 6.5kg | PROmachine,current_catalog,BARBELL,,WEIGHTLIFTING:STRONGLY_INFERRED,,family:name | feature:Categoría | discipline:WEIGHTLIFTING(STRONGLY_INFERRED),EXPLICIT,,,
823,Par Bumper Plates Eco 5kg | HWM®,current_catalog,WEIGHT_PLATE,,WEIGHTLIFTING:STRONGLY_INFERRED,,family:name | feature:Categoría | discipline:WEIGHTLIFTING(STRONGLY_INFERRED),EXPLICIT,,,
57,Balón Medicinal 5kg Color Series | HWM®,current_catalog,BALL_BAG,,HYROX:EXPLICIT,,family:name | discipline:HYROX(EXPLICIT),EXPLICIT,,,
1971,Palmeta de Caucho 100x100cm 15mm (Unidad) - 2da Selección,historical_order_detail_only,FLOORING,,,,family:name,EXPLICIT,HISTORICAL_DATA_GAP,,
229,Par Mancuernas Hexagonales 12.5kg | HWM®,current_catalog,DUMBBELL,,,,family:name,EXPLICIT,,,
1607,Par Calleras Essentials 3 Orificios Rosado/Negro | HWM®,current_catalog,PROTECTIVE_GEAR,,,,family:name,EXPLICIT,,,
227,Par Mancuernas Hexagonales 7.5kg | HWM®,current_catalog,DUMBBELL,,,,family:name,EXPLICIT,,,
58,Balón Medicinal 7kg Color Series | HWM®,current_catalog,BALL_BAG,,HYROX:EXPLICIT,,family:name | discipline:HYROX(EXPLICIT),EXPLICIT,,,
1670,Par Guantes Grab Shiny Morado | FullFit,current_catalog,PROTECTIVE_GEAR,,,,family:name,EXPLICIT,,,
2077,Máquina Home Gym PRO FZ402B 68kg - 2da Selección | Forza,historical_order_detail_only,OTHER,,,HOME_GYM:STRONGLY_INFERRED,useContext:HOME_GYM(STRONGLY_INFERRED),INSUFFICIENT_EVIDENCE,HISTORICAL_DATA_GAP,INSUFFICIENT_EVIDENCE,No name or trusted-category evidence matched any PRODUCT_FAMILY rule; assigned OTHER as fallback
611,Barra Olímpica Cerakote Rojo 20kg | KONG,current_catalog,BARBELL,,WEIGHTLIFTING:STRONGLY_INFERRED,,family:name | feature:Categoría | discipline:WEIGHTLIFTING(STRONGLY_INFERRED),EXPLICIT,,,
1967,Balón Medicinal 9kg Color Series - 2da Selección | HWM®,historical_order_detail_only,BALL_BAG,,,,family:name,EXPLICIT,HISTORICAL_DATA_GAP,,
1055,Piso De Caucho 1x1mt 15mm (Unidad) | 2° Selección,historical_order_detail_only,FLOORING,,,,family:name,EXPLICIT,HISTORICAL_DATA_GAP,,
111,Par Crumb Bumper Plates 25Lbs | HWM®,current_catalog,WEIGHT_PLATE,,WEIGHTLIFTING:STRONGLY_INFERRED,,family:name | feature:Categoría | discipline:WEIGHTLIFTING(STRONGLY_INFERRED),EXPLICIT,,,
1646,Rodilleras de Neopreno XBarbell 5mm FullColor | HWM®,current_catalog,PROTECTIVE_GEAR,,,,family:name,EXPLICIT,,,
109,Par Crumb Bumper Plates 10Lbs | HWM®,current_catalog,WEIGHT_PLATE,,WEIGHTLIFTING:STRONGLY_INFERRED,,family:name | feature:Categoría | discipline:WEIGHTLIFTING(STRONGLY_INFERRED),EXPLICIT,,,
775,Bosu Ball 1.0 | Mindfullness,current_catalog,BALL_BAG,,,,family:name,EXPLICIT,,,
1611,Par Calleras Stone 2.0 Sin Orificios Magenta | HWM®,current_catalog,PROTECTIVE_GEAR,,,,family:name,EXPLICIT,,,
110,Par Crumb Bumper Plates 15Lbs | HWM®,current_catalog,WEIGHT_PLATE,,WEIGHTLIFTING:STRONGLY_INFERRED,,family:name | feature:Categoría | discipline:WEIGHTLIFTING(STRONGLY_INFERRED),EXPLICIT,,,
1555,2da Selección - Barra Olímpica 20kg Cerakote Rojo | KONG,historical_order_detail_only,BARBELL,,,,family:name,EXPLICIT,HISTORICAL_DATA_GAP,,
112,Par Crumb Bumper Plates 35Lbs | HWM®,current_catalog,WEIGHT_PLATE,,WEIGHTLIFTING:STRONGLY_INFERRED,,family:name | feature:Categoría | discipline:WEIGHTLIFTING(STRONGLY_INFERRED),EXPLICIT,,,
1499,Par Discos Olímpicos Grip Rubber 20kg | PROmachine,current_catalog,WEIGHT_PLATE,,WEIGHTLIFTING:STRONGLY_INFERRED,,family:name | feature:Categoría | discipline:WEIGHTLIFTING(STRONGLY_INFERRED),EXPLICIT,,,
1093,Airbike Hurricane 2.0 | 2° Selección | HWM,historical_order_detail_only,CARDIO_MACHINE,,CARDIO_ENDURANCE:STRONGLY_INFERRED,,family:name | discipline:CARDIO_ENDURANCE(STRONGLY_INFERRED),EXPLICIT,HISTORICAL_DATA_GAP,,
389,Rack de Almacenamiento Mancuernas 3 Niveles | HWM®,current_catalog,STORAGE,,,,family:name,EXPLICIT,,,
2061,Banco Regulable Delta | HWM®,current_catalog,BENCH,,,HOME_GYM:EXPLICIT,family:name | feature:Clasificación de Uso | useContext:HOME_GYM(EXPLICIT),EXPLICIT,,,
1486,Bicicleta de Spinning 850S | VORTEC,current_catalog,CARDIO_MACHINE,,CARDIO_ENDURANCE:STRONGLY_INFERRED,COMMERCIAL_GYM:EXPLICIT,family:name | feature:Clasificación de Uso | discipline:CARDIO_ENDURANCE(STRONGLY_INFERRED) | useContext:COMMERCIAL_GYM(EXPLICIT),EXPLICIT,,,
1610,Par Calleras Phanter Sin Orificios | HWM®,current_catalog,PROTECTIVE_GEAR,,,,family:name,EXPLICIT,,,
2152,Balón Medicinal 9kg Color Series - 2da Selección Wodstock | HWM®,historical_order_detail_only,BALL_BAG,,,,family:name,EXPLICIT,HISTORICAL_DATA_GAP,,
666,Barra Olímpica Cerakote Amarillo 15kg | KONG,current_catalog,BARBELL,,WEIGHTLIFTING:STRONGLY_INFERRED,,family:name | feature:Categoría | discipline:WEIGHTLIFTING(STRONGLY_INFERRED),EXPLICIT,,,
1551,Banco Multifunción Leg/Curl Extension ZR Series | PROmachine,current_catalog,BENCH,,,HOME_GYM:EXPLICIT,family:name | feature:Clasificación de Uso | useContext:HOME_GYM(EXPLICIT),EXPLICIT,,,
1614,Par Calleras Stone 2.0 Sin Orificios Blanco | HWM®,current_catalog,PROTECTIVE_GEAR,,,,family:name,EXPLICIT,,,
1455,Wall Crossover Black ZR Series | PROmachine,current_catalog,CABLE_MACHINE,,,HOME_GYM:EXPLICIT,family:name | feature:Clasificación de Uso | useContext:HOME_GYM(EXPLICIT),EXPLICIT,,,
1497,Par Discos Olímpicos Grip Rubber 10kg | PROmachine,current_catalog,WEIGHT_PLATE,,WEIGHTLIFTING:STRONGLY_INFERRED,,family:name | feature:Categoría | discipline:WEIGHTLIFTING(STRONGLY_INFERRED),EXPLICIT,,,
1549,Banco Plano Alpha | HWM®,current_catalog,BENCH,,,COMMERCIAL_GYM:EXPLICIT,family:name | feature:Clasificación de Uso | useContext:COMMERCIAL_GYM(EXPLICIT),EXPLICIT,,,
85,Cajón Pliométrico Acolchado 3 en 1 (75x50x60cm) | HWM®,current_catalog,OTHER,,,,,INSUFFICIENT_EVIDENCE,,INSUFFICIENT_EVIDENCE,No name or trusted-category evidence matched any PRODUCT_FAMILY rule; assigned OTHER as fallback
1671,Par Guantes Grab Shiny Cian | FullFit,current_catalog,PROTECTIVE_GEAR,,,,family:name,EXPLICIT,,,
1553,2da Selección - Airbike Hurricane 3.0 | HWM®,historical_order_detail_only,CARDIO_MACHINE,,CARDIO_ENDURANCE:STRONGLY_INFERRED,,family:name | discipline:CARDIO_ENDURANCE(STRONGLY_INFERRED),EXPLICIT,HISTORICAL_DATA_GAP,,
1506,Dual Polea Alta / Remo Bajo MO 2.0 | Obelix®,current_catalog,CABLE_MACHINE,,,COMMERCIAL_GYM:EXPLICIT,family:name | feature:Clasificación de Uso | useContext:COMMERCIAL_GYM(EXPLICIT),EXPLICIT,,,
151,AbMat 1.0 | HWM®,current_catalog,OTHER,,,,,INSUFFICIENT_EVIDENCE,,INSUFFICIENT_EVIDENCE,No name or trusted-category evidence matched any PRODUCT_FAMILY rule; assigned OTHER as fallback
1608,Par Calleras Essentials 3 Orificios Blanco/Negro | HWM®,current_catalog,PROTECTIVE_GEAR,,,,family:name,EXPLICIT,,,
2073,Trotadora Comercial S1 Series TFT Touch - 2da Selección | Obelix®,historical_order_detail_only,CARDIO_MACHINE,,CARDIO_ENDURANCE:STRONGLY_INFERRED,COMMERCIAL_GYM:EXPLICIT,family:name | discipline:CARDIO_ENDURANCE(STRONGLY_INFERRED) | useContext:COMMERCIAL_GYM(EXPLICIT),EXPLICIT,HISTORICAL_DATA_GAP,,
226,Par Mancuernas Hexagonales 5kg | HWM®,current_catalog,DUMBBELL,,,,family:name,EXPLICIT,,,
2066,Trotadora Comercial S1 Series LED - 2da Selección | Obelix®,historical_order_detail_only,CARDIO_MACHINE,,CARDIO_ENDURANCE:STRONGLY_INFERRED,COMMERCIAL_GYM:EXPLICIT,family:name | discipline:CARDIO_ENDURANCE(STRONGLY_INFERRED) | useContext:COMMERCIAL_GYM(EXPLICIT),EXPLICIT,HISTORICAL_DATA_GAP,,
1606,Par Calleras Essentials 3 Orificios Negro/Rojo | HWM®,current_catalog,PROTECTIVE_GEAR,,,,family:name,EXPLICIT,,,
1133,Par Rodilleras de Neopreno Camo 5mm | HWM®,current_catalog,PROTECTIVE_GEAR,,,,family:name,EXPLICIT,,,
113,Par Crumb Bumper Plates 45Lbs | HWM®,current_catalog,WEIGHT_PLATE,,WEIGHTLIFTING:STRONGLY_INFERRED,,family:name | feature:Categoría | discipline:WEIGHTLIFTING(STRONGLY_INFERRED),EXPLICIT,,,
1668,Par Guantes Grab Training 2.0 Pink | FullFit,current_catalog,PROTECTIVE_GEAR,,,,family:name,EXPLICIT,,,
1836,Par Guantes de Boxeo | Rising,current_catalog,PROTECTIVE_GEAR,,BOXING_MMA:EXPLICIT,,family:name | discipline:BOXING_MMA(EXPLICIT),EXPLICIT,,,
1547,Power Rack Magnum | HWM®,current_catalog,RACK_CAGE,,,COMMERCIAL_GYM:EXPLICIT,family:name | feature:Clasificación de Uso | useContext:COMMERCIAL_GYM(EXPLICIT),EXPLICIT,,,
1633,Discos Powerlifting Chromed Steel 20kg (Par) | XMASTER | 2da Selección,historical_order_detail_only,WEIGHT_PLATE,,POWERLIFTING:EXPLICIT,,family:name | discipline:POWERLIFTING(EXPLICIT),EXPLICIT,HISTORICAL_DATA_GAP,,
2231,Polea Dual Multifuncional 70kg ZR Series - 2da Selección | PROmachine (PM-M853A-SU45-2),historical_order_detail_only,CABLE_MACHINE,,,,family:name,EXPLICIT,HISTORICAL_DATA_GAP,,
1632,Discos Powerlifting Chromed Steel 15kg (Par) | XMASTER | 2da Selección,historical_order_detail_only,WEIGHT_PLATE,,POWERLIFTING:EXPLICIT,,family:name | discipline:POWERLIFTING(EXPLICIT),EXPLICIT,HISTORICAL_DATA_GAP,,
1717,Máquina Home Gym ULTRA FZ410 68kg | Forza | 2da Selección,historical_order_detail_only,OTHER,,,HOME_GYM:STRONGLY_INFERRED,useContext:HOME_GYM(STRONGLY_INFERRED),INSUFFICIENT_EVIDENCE,HISTORICAL_DATA_GAP,INSUFFICIENT_EVIDENCE,No name or trusted-category evidence matched any PRODUCT_FAMILY rule; assigned OTHER as fallback
1714,Máquina Home Gym PRO FZ402B 68kg | Forza | 2da Selección,historical_order_detail_only,OTHER,,,HOME_GYM:STRONGLY_INFERRED,useContext:HOME_GYM(STRONGLY_INFERRED),INSUFFICIENT_EVIDENCE,HISTORICAL_DATA_GAP,INSUFFICIENT_EVIDENCE,No name or trusted-category evidence matched any PRODUCT_FAMILY rule; assigned OTHER as fallback
1631,Discos Powerlifting Chromed Steel 10kg (Par) | XMASTER | 2da Selección,historical_order_detail_only,WEIGHT_PLATE,,POWERLIFTING:EXPLICIT,,family:name | discipline:POWERLIFTING(EXPLICIT),EXPLICIT,HISTORICAL_DATA_GAP,,
1630,Discos Powerlifting Chromed Steel 5kg (Par) | XMASTER | 2da Selección,historical_order_detail_only,WEIGHT_PLATE,,POWERLIFTING:EXPLICIT,,family:name | discipline:POWERLIFTING(EXPLICIT),EXPLICIT,HISTORICAL_DATA_GAP,,
2193,Banco Multifuncional + Bandas de Resistencia - 2da Selección | Forza,historical_order_detail_only,BENCH,BAND_SUSPENSION,,,family:name,EXPLICIT,HISTORICAL_DATA_GAP,MULTI_COMPONENT_PRODUCT,"Bundle joins BENCH + BAND_SUSPENSION (explicit ""+"" in name)"
2214,Banco Multifuncional + Bandas de Resistencia - 2da Selección | Forza (FZ5905-SU45-2),historical_order_detail_only,BENCH,BAND_SUSPENSION,,,family:name,EXPLICIT,HISTORICAL_DATA_GAP,MULTI_COMPONENT_PRODUCT,"Bundle joins BENCH + BAND_SUSPENSION (explicit ""+"" in name)"
1405,CROP TOP CROSSFIT HATERS ROSADO | KILO Talla: S,historical_order_detail_only,APPAREL,,CROSSFIT:EXPLICIT,,family:name | discipline:CROSSFIT(EXPLICIT),EXPLICIT,HISTORICAL_DATA_GAP,,
1711,Balón Pilates 65cm | 2da Selección,historical_order_detail_only,YOGA_PILATES,,YOGA_PILATES:EXPLICIT,,family:name | discipline:YOGA_PILATES(EXPLICIT),EXPLICIT,HISTORICAL_DATA_GAP,,
2174,Palmeta de Caucho 100x100cm 15mm - 2da Selección StrongFit (Unidad),historical_order_detail_only,FLOORING,,,,family:name,EXPLICIT,HISTORICAL_DATA_GAP,,
234,Par Mancuernas Hexagonales 25kg | HWM®,current_catalog,DUMBBELL,,,,family:name,EXPLICIT,,,
90,Soga de Trepa 7mt | HWM®,current_catalog,ROPE_SLED,,HYROX:EXPLICIT,,family:name | discipline:HYROX(EXPLICIT),EXPLICIT,,,
1208,Barra Olímpica Cerakote Black Camo 700lb 20kg | HWM,current_catalog,BARBELL,,WEIGHTLIFTING:STRONGLY_INFERRED,,family:name | feature:Categoría | discipline:WEIGHTLIFTING(STRONGLY_INFERRED),EXPLICIT,,,
610,Barra Olímpica Cerakote Pink 15kg | KONG,current_catalog,BARBELL,,WEIGHTLIFTING:STRONGLY_INFERRED,,family:name | feature:Categoría | discipline:WEIGHTLIFTING(STRONGLY_INFERRED),EXPLICIT,,,
1970,Airbike Hurricane 3.0 - 2da Selección | HWM®,historical_order_detail_only,CARDIO_MACHINE,,CARDIO_ENDURANCE:STRONGLY_INFERRED,,family:name | discipline:CARDIO_ENDURANCE(STRONGLY_INFERRED),EXPLICIT,HISTORICAL_DATA_GAP,,
795,Barra Olímpica Cerakote Black 20kg | KONG,current_catalog,BARBELL,,WEIGHTLIFTING:STRONGLY_INFERRED,,family:name | feature:Categoría | discipline:WEIGHTLIFTING(STRONGLY_INFERRED),EXPLICIT,,,
1269,Extensión de Cuádriceps MO 2.0 Obelix®,current_catalog,SELECTORIZED_MACHINE,,,COMMERCIAL_GYM:EXPLICIT,family:name | feature:Clasificación de Uso | useContext:COMMERCIAL_GYM(EXPLICIT),EXPLICIT,,,
1949,Set 4 Plyo Box Apilables - 2da Selección | HWM,historical_order_detail_only,OTHER,,,,,INSUFFICIENT_EVIDENCE,HISTORICAL_DATA_GAP,INSUFFICIENT_EVIDENCE,"Sold as multi-unit pack/set; not treated as a separate PRODUCT_FAMILY (PACK_SET dropped, see ontology decision) / No name or trusted-category evidence matched any PRODUCT_FAMILY rule; assigned OTHER as fallback"
80,Magnesio 56gr (Unidad) | Araknido,current_catalog,OTHER,,,,,INSUFFICIENT_EVIDENCE,,INSUFFICIENT_EVIDENCE,No name or trusted-category evidence matched any PRODUCT_FAMILY rule; assigned OTHER as fallback
1647,Rodilleras de Neopreno XBarbell 5mm Magenta | HWM®,current_catalog,PROTECTIVE_GEAR,,,,family:name,EXPLICIT,,,
1628,Set 20kg Maletín Cast Iron | 2da Selección,historical_order_detail_only,OTHER,,,,,INSUFFICIENT_EVIDENCE,HISTORICAL_DATA_GAP,INSUFFICIENT_EVIDENCE,"Sold as multi-unit pack/set; not treated as a separate PRODUCT_FAMILY (PACK_SET dropped, see ontology decision) / No name or trusted-category evidence matched any PRODUCT_FAMILY rule; assigned OTHER as fallback"
231,Par Mancuernas Hexagonales 17.5kg | HWM®,current_catalog,DUMBBELL,,,,family:name,EXPLICIT,,,
153,Par Colchonetas de Impacto | HWM®,current_catalog,FLOORING,,,,family:name,EXPLICIT,,,"Impact/landing mat (colchoneta) classified as FLOORING, not YOGA_PILATES, per FLOORING-vs-YOGA_MAT boundary rule (no yoga/pilates wording present)"
82,Cajón Pliométrico de Madera 3 en 1 (75x50x60cm) | HWM®,current_catalog,OTHER,,,,,INSUFFICIENT_EVIDENCE,,INSUFFICIENT_EVIDENCE,No name or trusted-category evidence matched any PRODUCT_FAMILY rule; assigned OTHER as fallback
